CRAIG,0.206,male_first,CRAIG,CRAIG,CRAIG
ALAN,0.204,male_first,ALAN,ALAN,ALAN
SHAWN,0.2,male_first,SHAWN,SHAWN,SHAWN
CLARENCE,0.197,male_first,CLARENCE,CLARENCE,CLARENCE
SEAN,0.197,male_first,SEAN,SEAN,SEAN
PHILIP,0.197,male_first,PHILIP,PHILIP,PHILIP
CHRIS,0.197,male_first,CHRIS,CHRIS,CHRIS
JOHNNY,0.195,male_first,JOHNNY,JOHNNY,JOHNNY
EARL,0.193,male_first,EARL,EARL,EARL
JIMMY,0.191,male_first,JIMMY,JIMMY,JIMMY
ANTONIO,0.19,male_first,ANTONIO,ANTONIO,ANTONIO
DANNY,0.19,male_first,DANNY,DANNY,DANNY
BRYAN,0.19,male_first,BRYAN,BRYAN,BRYAN
TONY,0.19,male_first,TONY,TONY,TONY
LUIS,0.189,male_first,LUIS,LUIS,LUIS
MIKE,0.189,male_first,MIKE,MIKE,MIKE
STANLEY,0.186,male_first,STANLEY,STANLEY,STANLEY
LEONARD,0.186,male_first,LEONARD,LEONARD,LEONARD
NATHAN,0.185,male_first,NATHAN,NATHAN,NATHAN
DALE,0.184,male_first,DALE,DALE,DALE
MANUEL,0.181,male_first,MANUEL,MANUEL,MANUEL
RODNEY,0.18,male_first,RODNEY,RODNEY,RODNEY
CURTIS,0.18,male_first,CURTIS,CURTIS,CURTIS
NORMAN,0.177,male_first,NORMAN,NORMAN,NORMAN
ALLEN,0.174,male_first,ALLEN,ALLEN,ALLEN
MARVIN,0.171,male_first,MARVIN,MARVIN,MARVIN
VINCENT,0.168,male_first,VINCENT,VINCENT,VINCENT
GLENN,0.167,male_first,GLENN,GLENN,GLENN
JEFFERY,0.166,male_first,JEFFERY,JEFFERY,JEFFERY
TRAVIS,0.166,male_first,TRAVIS,TRAVIS,TRAVIS
JEFF,0.166,male_first,JEFF,JEFF,JEFF
CHAD,0.165,male_first,CHAD,CHAD,CHAD
JACOB,0.165,male_first,JACOB,JACOB,JACOB
LEE,0.162,male_first,LEE,LEE,LEE
MELVIN,0.162,male_first,MELVIN,MELVIN,MELVIN
ALFRED,0.162,male_first,ALFRED,ALFRED,ALFRED
KYLE,0.16,male_first,KYLE,KYLE,KYLE
FRANCIS,0.16,male_first,FRANCIS,FRANCIS,FRANCIS
BRADLEY,0.159,male_first,BRADLEY,BRADLEY,BRADLEY
JESUS,0.155,male_first,JESUS,JESUS,JESUS
HERBERT,0.155,male_first,HERBERT,HERBERT,HERBERT
FREDERICK,0.154,male_first,FREDERICK,FREDERICK,FREDERICK
RAY,0.153,male_first,RAY,RAY,RAY
JOEL,0.152,male_first,JOEL,JOEL,JOEL
EDWIN,0.148,male_first,EDWIN,EDWIN,EDWIN
DON,0.145,male_first,DON,DON,DON
EDDIE,0.144,male_first,EDDIE,EDDIE,EDDIE
RICKY,0.141,male_first,RICKY,RICKY,RICKY
TROY,0.138,male_first,TROY,TROY,TROY
RANDALL,0.138,male_first,RANDALL,RANDALL,RANDALL
BARRY,0.134,male_first,BARRY,BARRY,BARRY
ALEXANDER,0.132,male_first,ALEXANDER,ALEXANDER,ALEXANDER
BERNARD,0.127,male_first,BERNARD,BERNARD,BERNARD
MARIO,0.125,male_first,MARIO,MARIO,MARIO
LEROY,0.125,male_first,LEROY,LEROY,LEROY
FRANCISCO,0.124,male_first,FRANCISCO,FRANCISCO,FRANCISCO
MARCUS,0.124,male_first,MARCUS,MARCUS,MARCUS
MICHEAL,0.123,male_first,MICHEAL,MICHEAL,MICHEAL
THEODORE,0.123,male_first,THEODORE,THEODORE,THEODORE
CLIFFORD,0.123,male_first,CLIFFORD,CLIFFORD,CLIFFORD
MIGUEL,0.122,male_first,MIGUEL,MIGUEL,MIGUEL
OSCAR,0.122,male_first,OSCAR,OSCAR,OSCAR
JAY,0.118,male_first,JAY,JAY,JAY
JIM,0.118,male_first,JIM,JIM,JIM
TOM,0.117,male_first,TOM,TOM,TOM
CALVIN,0.115,male_first,CALVIN,CALVIN,CALVIN
ALEX,0.115,male_first,ALEX,ALEX,ALEX
JON,0.115,male_first,JON,JON,JON
RONNIE,0.113,male_first,RONNIE,RONNIE,RONNIE
BILL,0.112,male_first,BILL,BILL,BILL
LLOYD,0.112,male_first,LLOYD,LLOYD,LLOYD
